id,UTC,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Fire Alarm
86,1654733417,21.204,49.29,45,453,0
87,1654733418,21.217,49.81,54,462,0
88,1654733419,21.23,50.45,33,448,0
89,1654733420,21.243,51.03,42,439,0
90,1654733421,21.257,51.56,34,437,0
91,1654733422,21.27,52.04,26,441,0
92,1654733423,21.283,52.54,18,422,0
93,1654733424,21.296,52.92,35,438,0
94,1654733425,21.309,53.32,27,424,0
95,1654733426,21.323,53.65,23,419,0
96,1654733427,21.336,53.96,33,421,0
97,1654733428,21.349,54.25,21,417,0
98,1654733429,21.362,54.52,19,418,0
99,1654733430,21.375,54.74,14,405,0
100,1654733431,21.388,54.95,19,414,0
101,1654733432,21.401,55.16,20,408,0
102,1654733433,21.414,55.32,8,410,0
103,1654733434,21.427,55.53,16,406,0
104,1654733435,21.44,55.64,2,400,0
105,1654733436,21.453,55.81,15,406,0
106,1654733437,21.466,55.9,9,401,0
107,1654733438,21.479,56.07,12,402,0
108,1654733439,21.492,56.18,13,400,0
109,1654733440,21.505,56.24,8,402,0
110,1654733441,21.518,56.37,6,400,0
111,1654733442,21.531,56.42,11,409,0
112,1654733443,21.543,56.5,16,408,0
113,1654733444,21.556,56.62,13,401,0
114,1654733445,21.569,56.69,11,400,0
115,1654733446,21.582,56.91,0,400,0
116,1654733447,21.595,56.65,0,400,0
117,1654733448,21.607,56.13,0,400,0
118,1654733449,21.62,55.44,0,402,0
119,1654733450,21.633,54.78,0,408,0
120,1654733451,21.646,54.24,10,419,0
121,1654733452,21.658,53.68,2,415,0
122,1654733453,21.671,53.18,2,404,0
123,1654733454,21.684,52.75,0,400,0
124,1654733455,21.696,52.37,6,408,0
125,1654733456,21.709,52.01,2,413,0
126,1654733457,21.722,51.72,10,415,0
127,1654733458,21.734,51.45,7,413,0
128,1654733459,21.747,51.18,2,413,0
129,1654733460,21.76,51.01,9,417,0
130,1654733461,21.772,50.78,10,417,0
131,1654733462,21.785,50.64,2,401,0
132,1654733463,21.797,50.46,1,407,0
133,1654733464,21.81,50.3,0,400,0
134,1654733465,21.822,50.16,21,425,0
135,1654733466,21.835,50.04,10,426,0
136,1654733467,21.847,49.93,6,420,0
137,1654733468,21.86,49.85,6,417,0
138,1654733469,21.872,49.76,8,420,0
139,1654733470,21.885,49.64,5,417,0
140,1654733471,21.897,49.58,11,411,0
141,1654733472,21.909,49.5,11,421,0
142,1654733473,21.922,49.42,0,414,0
143,1654733474,21.934,49.38,7,418,0
144,1654733475,21.946,49.33,4,406,0
145,1654733476,21.959,49.16,28,442,0
146,1654733477,21.971,49.32,39,455,0
147,1654733478,21.983,49.87,29,440,0
148,1654733479,21.996,50.49,31,445,0
149,1654733480,22.008,51.08,28,453,0
150,1654733481,22.02,51.65,26,440,0
151,1654733482,22.032,52.13,28,433,0
152,1654733483,22.044,52.62,23,433,0
153,1654733484,22.057,53.02,20,430,0
154,1654733485,22.069,53.45,21,438,0
155,1654733486,22.081,53.75,16,426,0
156,1654733487,22.093,54.05,26,431,0
157,1654733488,22.105,54.36,32,437,0
158,1654733489,22.117,54.59,29,417,0
159,1654733490,22.13,54.83,21,420,0
160,1654733491,22.142,55.03,20,420,0
161,1654733492,22.154,55.25,20,421,0
162,1654733493,22.166,55.46,12,415,0
163,1654733494,22.178,55.61,11,410,0
164,1654733495,22.19,55.73,11,400,0
165,1654733496,22.202,55.88,18,417,0
166,1654733497,22.214,56.02,14,403,0
167,1654733498,22.226,56.14,17,405,0
168,1654733499,22.238,56.26,11,401,0
169,1654733500,22.25,56.32,2,403,0
170,1654733501,22.262,56.43,2,400,0
171,1654733502,22.273,56.53,5,404,0
172,1654733503,22.285,56.63,4,404,0
173,1654733504,22.297,56.69,6,403,0
174,1654733505,22.309,56.76,2,400,0
175,1654733506,22.321,56.99,0,400,0
176,1654733507,22.333,56.77,0,400,0
177,1654733508,22.344,55.02,0,401,0
178,1654733509,22.356,54.41,0,408,0
179,1654733510,22.368,53.84,1,410,0
180,1654733511,22.38,53.38,0,402,0
181,1654733512,22.392,51.95,4,413,0
182,1654733513,22.403,51.66,0,400,0
183,1654733514,22.415,51.38,2,409,0
184,1654733515,22.427,51.19,1,405,0
185,1654733516,22.438,50.83,12,400,0
186,1654733517,22.45,50.65,1,401,0
187,1654733518,22.462,50.49,12,412,0
188,1654733519,22.473,50.36,1,407,0
189,1654733520,22.485,50.2,13,409,0
190,1654733521,22.497,50.09,2,405,0
191,1654733522,22.508,49.96,15,403,0
192,1654733523,22.52,49.89,3,402,0
193,1654733524,22.531,49.78,12,409,0
194,1654733525,22.543,49.71,1,400,0
195,1654733526,22.554,49.63,6,401,0
196,1654733527,22.566,49.57,0,402,0
197,1654733528,22.577,49.52,8,402,0
198,1654733529,22.589,49.43,8,405,0
199,1654733530,22.6,49.23,34,440,0
200,1654733531,22.612,49.5,27,440,0
201,1654733532,22.623,50.05,44,444,0
202,1654733533,22.634,50.61,27,429,0
203,1654733534,22.646,51.18,39,449,0
204,1654733535,22.657,51.74,22,422,0
205,1654733536,22.669,52.22,22,416,0
206,1654733537,22.68,52.7,28,424,0
207,1654733538,22.691,53.13,24,418,0
208,1654733539,22.703,53.51,29,419,0
209,1654733540,22.714,54.1,32,411,0
210,1654733541,22.725,54.45,18,400,0
211,1654733542,22.736,54.71,20,409,0
212,1654733543,22.748,54.87,23,404,0
213,1654733544,22.759,55.24,17,400,0
214,1654733545,22.77,55.5,19,401,0
215,1654733546,22.781,55.66,8,400,0
216,1654733547,22.793,55.84,10,400,0
217,1654733548,22.804,55.94,17,400,0
218,1654733549,22.815,56.1,13,400,0
219,1654733550,22.826,56.19,8,400,0
220,1654733551,22.837,56.29,4,400,0
221,1654733552,22.848,56.39,11,400,0
222,1654733553,22.859,56.51,20,400,0
223,1654733554,22.87,56.6,7,400,0
224,1654733555,22.881,56.71,8,400,0
225,1654733556,22.892,56.75,10,400,0
226,1654733557,22.904,56.85,10,400,0
227,1654733558,22.915,57.07,0,400,0
228,1654733559,22.926,56.85,0,400,0
229,1654733560,22.937,56.27,0,400,0
230,1654733561,22.947,55.58,0,400,0
231,1654733562,22.958,54.37,10,400,0
232,1654733563,22.969,53.86,10,400,0
233,1654733564,22.98,53.35,7,400,0
234,1654733565,22.991,52.9,4,400,0
235,1654733566,23.002,52.52,4,400,0
236,1654733567,23.013,52.15,3,400,0
237,1654733568,23.024,51.86,7,400,0
238,1654733569,23.035,51.58,2,400,0
239,1654733570,23.045,51.37,3,400,0
240,1654733571,23.056,51.11,1,400,0
241,1654733572,23.067,50.96,2,400,0
242,1654733573,23.078,50.77,0,400,0
243,1654733574,23.089,50.62,0,400,0
244,1654733575,23.099,50.44,0,400,0
245,1654733576,23.11,50.31,1,400,0
246,1654733577,23.121,50.19,12,400,0
247,1654733578,23.131,50.08,5,400,0
248,1654733579,23.142,50,0,400,0
249,1654733580,23.153,49.85,12,400,0
250,1654733581,23.163,49.71,11,400,0
251,1654733582,23.174,49.66,14,400,0
252,1654733583,23.185,49.6,0,400,0
253,1654733584,23.195,49.53,14,400,0
254,1654733585,23.206,49.45,1,400,0
255,1654733586,23.216,49.31,33,400,0
256,1654733587,23.227,49.97,37,400,0
257,1654733588,23.238,50.61,51,400,0
258,1654733589,23.248,51.19,44,400,0
259,1654733590,23.259,51.75,37,400,0
260,1654733591,23.269,52.63,40,400,0
261,1654733592,23.28,53.07,39,400,0
262,1654733593,23.29,53.48,34,400,0
263,1654733594,23.3,53.84,19,400,0
264,1654733595,23.311,54.17,31,400,0
265,1654733596,23.321,54.43,31,400,0
266,1654733597,23.332,54.71,12,400,0
267,1654733598,23.342,54.92,9,400,0
268,1654733599,23.353,55.14,15,400,0
269,1654733600,23.363,55.36,18,400,0
270,1654733601,23.373,55.55,22,400,0
271,1654733602,23.384,55.74,9,400,0
272,1654733603,23.394,55.89,18,400,0
273,1654733604,23.404,56,2,400,0
274,1654733605,23.414,56.17,11,400,0
275,1654733606,23.425,56.27,16,400,0
276,1654733607,23.435,56.37,5,400,0
277,1654733608,23.445,56.48,13,400,0
278,1654733609,23.455,56.57,2,400,0
279,1654733610,23.466,56.66,2,400,0
280,1654733611,23.476,56.77,13,400,0
281,1654733612,23.486,56.81,4,400,0
282,1654733613,23.496,56.85,6,400,0
283,1654733614,23.506,57.1,0,400,0
284,1654733615,23.516,56.91,0,400,0
285,1654733616,23.526,56.32,0,400,0
286,1654733617,23.537,55.64,0,400,0
287,1654733618,23.547,54.43,3,400,0
288,1654733619,23.557,53.91,10,400,0
289,1654733620,23.567,53.4,1,400,0
290,1654733621,23.577,52.96,9,400,0
291,1654733622,23.587,52.56,17,400,0
292,1654733623,23.597,52.25,10,400,0
293,1654733624,23.607,51.91,10,400,0
294,1654733625,23.617,51.63,7,400,0
295,1654733626,23.627,51.38,6,400,0
296,1654733627,23.637,51.16,13,400,0
297,1654733628,23.646,50.96,11,400,0
298,1654733629,23.656,50.8,13,400,0
299,1654733630,23.666,50.63,1,400,0
300,1654733631,23.676,50.51,2,400,0
301,1654733632,23.686,50.4,3,400,0
302,1654733633,23.696,50.17,10,400,0
303,1654733634,23.706,50.08,6,400,0
304,1654733635,23.716,49.88,4,400,0
305,1654733636,23.725,49.81,4,400,0
306,1654733637,23.735,49.74,9,400,0
307,1654733638,23.745,49.67,8,400,0
308,1654733639,23.755,49.61,7,400,0
309,1654733640,23.764,49.54,11,400,0
310,1654733641,23.774,49.35,35,400,0
311,1654733642,23.784,49.59,32,400,0
312,1654733643,23.793,50.13,39,400,0
313,1654733644,23.803,50.75,37,400,0
314,1654733645,23.813,51.3,33,400,0
315,1654733646,23.822,51.89,32,400,0
316,1654733647,23.832,52.39,31,400,0
317,1654733648,23.842,52.85,27,400,0
318,1654733649,23.851,53.25,31,400,0
319,1654733650,23.861,53.66,15,400,0
320,1654733651,23.87,53.99,12,400,0
321,1654733652,23.88,54.3,16,400,0
322,1654733653,23.89,54.58,31,400,0
323,1654733654,23.899,54.85,29,400,0
324,1654733655,23.909,55.04,17,400,0
325,1654733656,23.918,55.25,9,400,0
326,1654733657,23.928,55.5,21,400,0
327,1654733658,23.937,55.71,7,400,0
328,1654733659,23.946,55.83,17,400,0
329,1654733660,23.956,55.98,10,400,0
330,1654733661,23.965,56.13,18,400,0
331,1654733662,23.975,56.23,7,400,0
332,1654733663,23.984,56.37,7,400,0
333,1654733664,23.993,56.47,13,400,0
334,1654733665,24.003,56.57,9,400,0
335,1654733666,24.012,56.66,9,400,0
336,1654733667,24.021,56.76,6,400,0
337,1654733668,24.031,56.83,6,400,0
338,1654733669,24.04,56.9,15,400,0
339,1654733670,24.049,56.96,4,400,0
340,1654733671,24.059,57.2,0,400,0
341,1654733672,24.068,56.96,0,400,0
342,1654733673,24.077,56.37,0,400,0
343,1654733674,24.086,55.13,0,400,0
344,1654733675,24.095,54.47,5,400,0
345,1654733676,24.105,53.94,2,400,0
346,1654733677,24.114,53.43,11,400,0
347,1654733678,24.123,53.03,0,400,0
348,1654733679,24.132,52.6,0,400,0
349,1654733680,24.141,52.25,5,400,0
350,1654733681,24.15,51.92,0,400,0
351,1654733682,24.159,51.65,5,400,0
352,1654733683,24.169,51.26,6,400,0
353,1654733684,24.178,51.06,7,400,0
354,1654733685,24.187,50.88,12,400,0
355,1654733686,24.196,50.74,12,400,0
356,1654733687,24.205,50.58,12,400,0
357,1654733688,24.214,50.41,15,400,0
358,1654733689,24.223,50.31,13,400,0
359,1654733690,24.232,50.21,8,400,0
360,1654733691,24.241,50.08,10,400,0
361,1654733692,24.25,50,15,400,0
362,1654733693,24.259,49.86,19,400,0
363,1654733694,24.267,49.84,8,400,0
364,1654733695,24.276,49.76,17,400,0
365,1654733696,24.285,49.7,17,400,0
366,1654733697,24.294,49.62,7,400,0
367,1654733698,24.303,49.56,5,400,0
368,1654733699,24.312,49.41,35,400,0
369,1654733700,24.321,49.61,32,400,0
370,1654733701,24.329,50.14,50,400,0
371,1654733702,24.338,50.76,41,400,0
372,1654733703,24.347,51.4,33,400,0
373,1654733704,24.356,52.37,31,400,0
374,1654733705,24.365,52.86,36,400,0
375,1654733706,24.373,53.27,20,400,0
376,1654733707,24.382,53.64,22,400,0
377,1654733708,24.391,54,22,400,0
378,1654733709,24.399,54.34,18,400,0
379,1654733710,24.408,54.6,23,400,0
380,1654733711,24.417,54.81,30,400,0
381,1654733712,24.425,55.06,28,400,0
382,1654733713,24.434,55.27,16,400,0
383,1654733714,24.443,55.52,6,400,0
384,1654733715,24.451,55.67,0,400,0
385,1654733716,24.46,55.85,11,400,0
386,1654733717,24.468,55.98,23,400,0
387,1654733718,24.477,56.15,7,400,0
388,1654733719,24.485,56.23,10,400,0
389,1654733720,24.494,56.36,6,400,0
390,1654733721,24.503,56.46,11,400,0
391,1654733722,24.511,56.57,14,400,0
392,1654733723,24.52,56.67,11,400,0
393,1654733724,24.528,56.75,1,400,0
394,1654733725,24.536,56.82,12,400,0
395,1654733726,24.545,56.9,19,400,0
396,1654733727,24.553,56.97,15,400,0
397,1654733728,24.562,57.22,0,400,0
398,1654733729,24.57,56.97,0,400,0
399,1654733730,24.578,56.35,0,400,0
400,1654733731,24.587,55.68,0,400,0
401,1654733732,24.595,55,1,400,0
402,1654733733,24.604,54.41,7,400,0
403,1654733734,24.612,53.86,0,400,0
404,1654733735,24.62,53.34,8,400,0
405,1654733736,24.628,52.92,0,400,0
406,1654733737,24.637,52.55,8,400,0
407,1654733738,24.645,52.17,6,400,0
408,1654733739,24.653,51.9,6,400,0
409,1654733740,24.661,51.64,1,400,0
410,1654733741,24.67,51.38,13,400,0
411,1654733742,24.678,51.15,7,400,0
412,1654733743,24.686,50.98,12,400,0
413,1654733744,24.694,50.83,12,400,0
414,1654733745,24.702,50.65,7,400,0
415,1654733746,24.71,50.49,7,400,0
416,1654733747,24.719,50.37,3,400,0
417,1654733748,24.727,50.24,20,400,0
418,1654733749,24.735,50.13,13,400,0
419,1654733750,24.743,50.05,8,400,0
420,1654733751,24.751,49.98,14,400,0
421,1654733752,24.759,49.9,0,400,0
422,1654733753,24.767,49.82,3,400,0
423,1654733754,24.775,49.73,11,400,0
424,1654733755,24.783,49.67,15,400,0
425,1654733756,24.791,49.59,13,400,0
426,1654733757,24.799,49.53,10,400,0
427,1654733758,24.807,49.37,40,400,0
428,1654733759,24.815,49.64,44,400,0
429,1654733760,24.823,50.15,36,400,0
430,1654733761,24.831,50.81,29,400,0
431,1654733762,24.839,51.38,43,400,0
432,1654733763,24.847,51.89,33,400,0
433,1654733764,24.854,52.44,33,400,0
434,1654733765,24.862,52.9,26,400,0
435,1654733766,24.87,53.26,30,400,0
436,1654733767,24.878,53.68,14,400,0
437,1654733768,24.886,54.05,23,400,0
438,1654733769,24.894,54.33,17,400,0
439,1654733770,24.901,54.6,12,400,0
440,1654733771,24.909,54.84,24,400,0
441,1654733772,24.917,55.1,13,400,0
442,1654733773,24.925,55.32,13,400,0
443,1654733774,24.932,55.48,23,400,0
444,1654733775,24.94,55.67,11,400,0
445,1654733776,24.948,55.85,11,400,0
446,1654733777,24.956,56,11,400,0
447,1654733778,24.963,56.15,8,400,0
448,1654733779,24.971,56.29,12,400,0
449,1654733780,24.979,56.38,18,400,0
450,1654733781,24.986,56.46,13,400,0
451,1654733782,24.994,56.61,16,400,0
452,1654733783,25.001,56.66,14,400,0
453,1654733784,25.009,56.76,6,400,0
454,1654733785,25.016,56.85,8,400,0
455,1654733786,25.024,56.91,4,400,0
456,1654733787,25.032,57,7,400,0
457,1654733788,25.039,57.22,0,400,0
458,1654733789,25.047,56.93,0,400,0
459,1654733790,25.054,55.72,0,400,0
460,1654733791,25.062,55.07,0,400,0
461,1654733792,25.069,54.47,0,400,0
462,1654733793,25.077,53.91,9,400,0
463,1654733794,25.084,53.42,5,400,0
464,1654733795,25.091,52.94,0,400,0
465,1654733796,25.099,52.56,7,400,0
466,1654733797,25.106,52.26,6,400,0
467,1654733798,25.114,51.95,9,400,0
468,1654733799,25.121,51.68,13,400,0
469,1654733800,25.128,51.44,10,400,0
470,1654733801,25.136,51.23,13,400,0
471,1654733802,25.143,51.03,4,400,0
472,1654733803,25.15,50.85,11,400,0
473,1654733804,25.158,50.57,16,400,0
474,1654733805,25.165,50.45,12,400,0
475,1654733806,25.172,50.31,5,400,0
476,1654733807,25.179,50.19,9,400,0
477,1654733808,25.187,50.11,4,400,0
478,1654733809,25.194,50.02,8,400,0
479,1654733810,25.201,49.93,11,400,0
480,1654733811,25.208,49.84,0,400,0
481,1654733812,25.215,49.77,11,400,0
482,1654733813,25.223,49.64,9,400,0
483,1654733814,25.23,49.62,3,400,0
484,1654733815,25.237,49.44,27,400,0
485,1654733816,25.244,49.74,38,400,0
486,1654733817,25.251,50.26,37,400,0
487,1654733818,25.258,50.89,32,400,0
488,1654733819,25.265,51.46,37,400,0
489,1654733820,25.272,51.99,37,400,0
490,1654733821,25.279,52.52,32,400,0
491,1654733822,25.286,52.98,29,400,0
492,1654733823,25.293,53.44,27,400,0
493,1654733824,25.3,53.81,18,400,0
494,1654733825,25.307,54.17,17,400,0
495,1654733826,25.314,54.46,22,400,0
496,1654733827,25.321,54.76,19,400,0
497,1654733828,25.328,55.01,11,400,0
498,1654733829,25.335,55.23,21,400,0
499,1654733830,25.342,55.45,13,400,0
500,1654733831,25.349,55.66,19,400,0
501,1654733832,25.356,55.86,11,400,0
502,1654733833,25.363,56.01,8,400,0
503,1654733834,25.37,56.16,12,400,0
504,1654733835,25.376,56.28,8,400,0
505,1654733836,25.383,56.42,12,400,0
506,1654733837,25.39,56.56,18,400,0
507,1654733838,25.397,56.64,8,400,0
508,1654733839,25.404,56.76,0,400,0
509,1654733840,25.41,56.86,14,400,0
510,1654733841,25.417,56.96,17,400,0
511,1654733842,25.424,57.01,10,400,0
512,1654733843,25.431,57.09,15,400,0
513,1654733844,25.437,57.14,7,400,0
514,1654733845,25.444,57.39,0,400,0
515,1654733846,25.451,57.16,0,400,0
516,1654733847,25.457,56.51,0,400,0
517,1654733848,25.464,55.84,0,400,0
518,1654733849,25.471,55.2,0,400,0
519,1654733850,25.477,54.57,3,400,0
520,1654733851,25.484,54,2,400,0
521,1654733852,25.491,53.51,5,400,0
522,1654733853,25.497,53.1,8,400,0
523,1654733854,25.504,52.7,12,400,0
524,1654733855,25.51,52.38,7,400,0
525,1654733856,25.517,52.07,11,400,0
526,1654733857,25.523,51.83,15,400,0
527,1654733858,25.53,51.57,18,400,0
528,1654733859,25.536,51.35,1,400,0
529,1654733860,25.543,51.18,6,400,0
530,1654733861,25.549,51.01,0,400,0
531,1654733862,25.556,50.86,0,400,0
532,1654733863,25.562,50.68,5,400,0
533,1654733864,25.569,50.59,15,400,0
534,1654733865,25.575,50.49,3,400,0
535,1654733866,25.582,50.39,12,400,0
536,1654733867,25.588,50.23,14,400,0
537,1654733868,25.594,50.15,11,400,0
538,1654733869,25.601,50.12,13,400,0
539,1654733870,25.607,50,12,400,0
540,1654733871,25.613,49.98,10,400,0
541,1654733872,25.62,49.89,11,400,0
542,1654733873,25.626,49.81,9,400,0
543,1654733874,25.632,49.74,12,400,0
544,1654733875,25.639,49.6,31,400,0
545,1654733876,25.645,49.86,30,400,0
546,1654733877,25.651,50.41,39,400,0
547,1654733878,25.657,51.04,34,400,0
548,1654733879,25.664,51.64,24,400,0
549,1654733880,25.67,52.17,26,400,0
550,1654733881,25.676,52.71,29,400,0
551,1654733882,25.682,53.2,34,400,0
552,1654733883,25.688,53.6,25,400,0
553,1654733884,25.694,53.98,17,400,0
554,1654733885,25.701,54.32,28,400,0
555,1654733886,25.707,54.64,18,400,0
556,1654733887,25.713,54.91,22,400,0
557,1654733888,25.719,55.54,16,400,0
558,1654733889,25.725,55.77,9,400,0
559,1654733890,25.731,55.97,18,400,0
560,1654733891,25.737,56.11,6,400,0
561,1654733892,25.743,56.24,1,400,0
562,1654733893,25.749,56.39,16,400,0
563,1654733894,25.755,56.55,16,400,0
564,1654733895,25.761,56.65,10,400,0
565,1654733896,25.767,56.75,1,400,0
566,1654733897,25.773,56.93,8,400,0
567,1654733898,25.779,57.02,0,400,0
568,1654733899,25.785,57.24,6,400,0
569,1654733900,25.791,57.44,0,400,0
570,1654733901,25.797,57.21,0,400,0
571,1654733902,25.803,56.63,0,400,0
572,1654733903,25.809,55.88,0,400,0
573,1654733904,25.815,55.23,2,400,0
574,1654733905,25.82,54.63,2,400,0
575,1654733906,25.826,54.06,0,400,0
576,1654733907,25.832,53.56,4,400,0
577,1654733908,25.838,53.13,9,400,0
578,1654733909,25.844,52.74,14,400,0
579,1654733910,25.85,52.4,16,400,0
580,1654733911,25.855,52.13,3,400,0
581,1654733912,25.861,51.84,0,400,0
582,1654733913,25.867,51.64,2,400,0
583,1654733914,25.873,51.42,11,400,0
584,1654733915,25.878,51.06,13,400,0
585,1654733916,25.884,50.93,8,400,0
586,1654733917,25.89,50.78,14,400,0
587,1654733918,25.895,50.63,9,400,0
588,1654733919,25.901,50.5,4,400,0
589,1654733920,25.907,50.43,13,400,0
590,1654733921,25.912,50.36,9,400,0
591,1654733922,25.918,50.25,1,400,0
592,1654733923,25.923,50.14,2,400,0
593,1654733924,25.929,50.07,4,400,0
594,1654733925,25.935,50,13,400,0
595,1654733926,25.94,49.94,3,400,0
596,1654733927,25.946,49.85,0,400,0
597,1654733928,25.951,49.83,11,400,0
598,1654733929,25.957,50.37,37,400,0
599,1654733930,25.962,50.95,32,400,0
600,1654733931,25.968,51.57,24,400,0
601,1654733932,25.973,52.62,39,400,0
602,1654733933,25.979,53.08,26,400,0
603,1654733934,25.984,53.51,25,400,0
604,1654733935,25.99,53.94,28,400,0
605,1654733936,25.995,54.57,16,400,0
606,1654733937,26.001,54.85,11,400,0
607,1654733938,26.006,55.12,17,400,0
608,1654733939,26.011,55.39,15,400,0
609,1654733940,26.017,55.63,18,400,0
610,1654733941,26.022,55.81,17,400,0
611,1654733942,26.027,56.03,22,400,0
612,1654733943,26.033,56.16,3,400,0
613,1654733944,26.038,56.36,0,400,0
614,1654733945,26.043,56.49,6,400,0
615,1654733946,26.049,56.61,8,400,0
616,1654733947,26.054,56.7,11,400,0
617,1654733948,26.059,56.83,10,400,0
618,1654733949,26.064,56.95,0,400,0
619,1654733950,26.07,57.04,11,400,0
620,1654733951,26.075,57.15,10,400,0
621,1654733952,26.08,57.23,10,400,0
622,1654733953,26.085,57.28,3,400,0
623,1654733954,26.09,57.35,7,400,0
624,1654733955,26.096,57.59,0,400,0
625,1654733956,26.101,57.34,0,400,0
626,1654733957,26.106,56.7,0,400,0
627,1654733958,26.111,56.01,0,400,0
628,1654733959,26.116,55.31,0,400,0
629,1654733960,26.121,54.71,3,400,0
630,1654733961,26.126,54.18,1,400,0
631,1654733962,26.131,53.71,10,400,0
632,1654733963,26.137,53.23,1,400,0
633,1654733964,26.142,52.85,6,400,0
634,1654733965,26.147,52.5,7,400,0
635,1654733966,26.152,52.18,0,400,0
636,1654733967,26.157,51.97,11,400,0
637,1654733968,26.162,51.72,9,400,0
638,1654733969,26.167,51.48,10,400,0
639,1654733970,26.172,51.33,6,400,0
640,1654733971,26.176,51.17,8,400,0
641,1654733972,26.181,51.04,3,400,0
642,1654733973,26.186,50.86,11,400,0
643,1654733974,26.191,50.71,10,400,0
644,1654733975,26.196,50.59,0,400,0
645,1654733976,26.201,50.52,8,400,0
646,1654733977,26.206,50.41,3,400,0
647,1654733978,26.211,50.32,10,400,0
648,1654733979,26.216,50.28,11,400,0
649,1654733980,26.22,50.17,10,400,0
650,1654733981,26.225,50.12,4,400,0
651,1654733982,26.23,50.04,7,400,0
652,1654733983,26.235,49.99,1,400,0
653,1654733984,26.24,49.93,0,400,0
654,1654733985,26.244,49.78,29,400,0
655,1654733986,26.249,50.02,34,400,0
656,1654733987,26.254,50.6,32,400,0
657,1654733988,26.259,51.19,24,400,0
658,1654733989,26.263,51.8,33,400,0
659,1654733990,26.268,52.39,29,400,0
660,1654733991,26.273,52.9,29,400,0
661,1654733992,26.277,53.36,19,400,0
662,1654733993,26.282,53.76,20,400,0
